Time [s], Analyzer Name, Decoded Protocol Result
5.045372840000000,SPI,MOSI: 0x08;  MISO: 0x00
5.045452860000000,SPI,MOSI: 0x78;  MISO: 0x00
5.045713400000000,SPI,MOSI: 0x08;  MISO: 0x00
5.045793440000000,SPI,MOSI: 0xD9;  MISO: 0x00
5.046052820000000,SPI,MOSI: 0x08;  MISO: 0x00
5.046132860000000,SPI,MOSI: 0x41;  MISO: 0x00
5.046393560000000,SPI,MOSI: 0x08;  MISO: 0x00
5.046473580000000,SPI,MOSI: 0x22;  MISO: 0x00
5.046732140000000,SPI,MOSI: 0x08;  MISO: 0x00
5.046812180000000,SPI,MOSI: 0x5E;  MISO: 0x00
5.047071880000000,SPI,MOSI: 0x08;  MISO: 0x00
5.047151900000000,SPI,MOSI: 0x90;  MISO: 0x00
5.047412820000000,SPI,MOSI: 0x08;  MISO: 0x00
5.047492840000000,SPI,MOSI: 0xC1;  MISO: 0x00
5.047753800000000,SPI,MOSI: 0x08;  MISO: 0x00
5.047833820000000,SPI,MOSI: 0xB5;  MISO: 0x00
5.048093760000000,SPI,MOSI: 0x08;  MISO: 0x00
5.048173780000000,SPI,MOSI: 0x8F;  MISO: 0x00
5.048433300000000,SPI,MOSI: 0x08;  MISO: 0x00
5.048513320000000,SPI,MOSI: 0xB1;  MISO: 0x00
5.048771500000000,SPI,MOSI: 0x08;  MISO: 0x00
5.048851520000000,SPI,MOSI: 0xF7;  MISO: 0x00
5.049111200000000,SPI,MOSI: 0x08;  MISO: 0x00
5.049191220000000,SPI,MOSI: 0x1F;  MISO: 0x00
5.049449700000000,SPI,MOSI: 0x08;  MISO: 0x00
5.049529740000000,SPI,MOSI: 0x8D;  MISO: 0x00
5.049789480000000,SPI,MOSI: 0x08;  MISO: 0x00
5.049869500000000,SPI,MOSI: 0xDE;  MISO: 0x00
5.050128060000000,SPI,MOSI: 0x08;  MISO: 0x00
5.050208100000000,SPI,MOSI: 0x9A;  MISO: 0x00
5.050466840000000,SPI,MOSI: 0x08;  MISO: 0x00
5.050546880000000,SPI,MOSI: 0xEB;  MISO: 0x00
5.050805720000000,SPI,MOSI: 0x08;  MISO: 0x00
5.050885760000000,SPI,MOSI: 0xAE;  MISO: 0x00
