Time [s], Analyzer Name, Decoded Protocol Result
3.569706760000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569769460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569777460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569840160000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569848160000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569910020000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569918020000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569985120000000,SPI,MOSI: 0x00;  MISO: 0x08
3.570049720000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570057720000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570120820000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570128820000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570191040000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570199040000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570261700000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570269700000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570331700000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570339700000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570401340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570409340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570471900000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570479900000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570544820000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570552820000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570614860000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570622860000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570684520000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570692520000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570754320000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570762320000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570825360000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570833360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570895460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570903460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570965160000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570973160000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571034800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571042800000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571110500000000,SPI,MOSI: 0x00;  MISO: 0x08
3.571175480000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571183460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571245160000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571253160000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571316680000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571324680000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571386380000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571394380000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571456540000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571464540000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571526200000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571534200000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571595740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571603740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571665680000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571673680000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571736280000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571744280000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571906240000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571914240000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571993340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572001340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572066380000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572074360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572137320000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572145320000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572214640000000,SPI,MOSI: 0x00;  MISO: 0x08
3.572279800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572287800000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572351340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572359340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572421840000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572429840000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572491620000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572499620000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572562240000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572570240000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572632340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572640340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572702300000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572710300000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572771660000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572779660000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572842800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572850800000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572913220000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572921220000000,SPI,MOSI: 0x00;  MISO: 0x44
3.572982780000000,SPI,MOSI: 0x88;  MISO: 0x00
3.572990780000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573052940000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573060940000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573122740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573130740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573193840000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573201840000000,SPI,MOSI: 0x00;  MISO: 0x44
3.573263900000000,SPI,MOSI: 0x88;  MISO: 0x00
3.573271900000000,SPI,MOSI: 0x00;  MISO: 0x44
